Dynamic Programming Results
  N      Runtime    Cost  Path
---  -----------  ------  -----------------------------------------------------
  5  0.000133038     276  [0, 2, 3, 4, 1, 0]
  6  0.000276804     279  [0, 5, 1, 4, 3, 2, 0]
  7  0.000748634     325  [0, 6, 2, 3, 4, 1, 5, 0]
  8  0.00180793      335  [0, 6, 2, 3, 4, 7, 1, 5, 0]
  9  0.00460482      337  [0, 6, 2, 3, 4, 7, 8, 1, 5, 0]
 10  0.0121348       337  [0, 6, 2, 9, 3, 4, 7, 8, 1, 5, 0]
 11  0.027221        338  [0, 6, 2, 10, 9, 3, 4, 7, 8, 1, 5, 0]
 12  0.0643473       339  [0, 6, 2, 10, 9, 11, 3, 4, 7, 8, 1, 5, 0]
 13  0.152677        341  [0, 6, 2, 10, 9, 11, 3, 12, 4, 7, 8, 1, 5, 0]
 14  0.355914        356  [0, 6, 13, 2, 10, 9, 11, 3, 12, 4, 7, 8, 1, 5, 0]
 15  0.835355        367  [0, 6, 14, 13, 2, 10, 9, 11, 3, 12, 4, 7, 8, 1, 5, 0]

